systematic_id ; common_name ; description
YMR265C ; nan ; Putative protein of unknown function
YMR266W ; RSN1 ; Membrane protein of unknown function
YMR267W ; PPA2 ; Mitochondrial inorganic pyrophosphatase
YMR268C ; PRP24 ; Splicing factor that reanneals snRNPs during spliceosome recycling
YMR269W ; TMA23 ; Nucleolar protein implicated in ribosome biogenesis
YMR270C ; RRN9 ; Protein involved in promoting high level transcription of rDNA
YMR271C ; URA10 ; Minor orotate phosphoribosyltransferase (OPRTase) isozyme
YMR272C ; SCS7 ; Sphingolipid alpha-hydroxylase
YMR273C ; ZDS1 ; Protein with a role in regulating Swe1p-dependent polarized growth
YMR274C ; RCE1 ; Type II CAAX prenyl protease
YMR275C ; BUL1 ; Alpha-arrestin, component of the Rsp5p E3-ubiquitin ligase complex
YMR276W ; DSK2 ; Nuclear-enriched ubiquitin-like polyubiquitin-binding protein
YMR277W ; FCP1 ; Carboxy-terminal domain (CTD) phosphatase
YMR278W ; PRM15 ; Phosphoribomutase
YMR279C ; ATR2 ; Putative boron transporter involved in boron efflux and resistance
YMR280C ; CAT8 ; Zinc cluster transcriptional activator
YMR281W ; GPI12 ; ER membrane protein involved in the second step of GPI anchor assembly
YMR282C ; AEP2 ; Mitochondrial protein
YMR283C ; RIT1 ; Initiator methionine 2'-O-ribosyl phosphate transferase
YMR284W ; YKU70 ; Subunit of the telomeric Ku complex (Yku70p-Yku80p)
YMR285C ; NGL2 ; Protein involved in 5.8S rRNA processing
YMR286W ; MRPL33 ; Mitochondrial ribosomal protein of the large subunit
YMR287C ; DSS1 ; 3'-5' exoribonuclease
YMR288W ; HSH155 ; U2-snRNP associated splicing factor
YMR289W ; ABZ2 ; Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase)
YMR290C ; HAS1 ; ATP-dependent RNA helicase
YMR291W ; TDA1 ; Protein kinase of unknown cellular role
YMR292W ; GOT1 ; Homodimeric protein that is packaged into COPII vesicles
YMR293C ; HER2 ; Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex
YMR294W ; JNM1 ; Component of the yeast dynactin complex
YMR295C ; nan ; Protein of unknown function that associates with ribosomes
YMR296C ; LCB1 ; Component of serine palmitoyltransferase
YMR297W ; PRC1 ; Vacuolar carboxypeptidase Y (proteinase C, CPY)
YMR298W ; LIP1 ; Ceramide synthase subunit
YMR299C ; DYN3 ; Dynein light intermediate chain (LIC)
YMR300C ; ADE4 ; Phosphoribosylpyrophosphate amidotransferase (PRPPAT)
YMR301C ; ATM1 ; Mitochondrial inner membrane ATP-binding cassette (ABC) transporter
YMR302C ; YME2 ; Integral inner mitochondrial membrane protein
YMR303C ; ADH2 ; Glucose-repressible alcohol dehydrogenase II
YMR304W ; UBP15 ; Ubiquitin-specific protease involved in protein deubiquitination
YMR305C ; SCW10 ; Cell wall protein with similarity to glucanases
YMR306W ; FKS3 ; Protein involved in spore wall assembly
YMR307W ; GAS1 ; Beta-1,3-glucanosyltransferase
YMR308C ; PSE1 ; Karyopherin/importin that interacts with the nuclear pore complex
YMR309C ; NIP1 ; eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3)
YMR310C ; nan ; Putative methyltransferase
YMR311C ; GLC8 ; Regulatory subunit of protein phosphatase 1 (Glc7p)
YMR312W ; ELP6 ; Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex
YMR313C ; TGL3 ; Bifunctional triacylglycerol lipase and LPE acyltransferase
YMR314W ; PRE5 ; Alpha 6 subunit of the 20S proteasome
YMR315W ; nan ; Protein with NADP(H) oxidoreductase activity
YMR316C-B ; nan ; Dubious open reading frame
YMR316W ; DIA1 ; Protein of unknown function
YMR317W ; nan ; Putative protein of unknown function
YMR318C ; ADH6 ; NADPH-dependent medium chain alcohol dehydrogenase
YMR319C ; FET4 ; Low-affinity Fe(II) transporter of the plasma membrane
YMR321C ; nan ; Putative protein of unknown function
YMR322C ; SNO4 ; Possible chaperone and cysteine protease
YMR323W ; ERR3 ; Enolase, a phosphopyruvate hydratase
YNL001W ; DOM34 ; Protein that facilitates ribosomal subunit dissociation
YNL002C ; RLP7 ; Nucleolar protein similar to large ribosomal subunit L7 proteins
YNL003C ; PET8 ; S-adenosylmethionine transporter of the mitochondrial inner membrane
YNL004W ; HRB1 ; Poly(A+) RNA-binding protein
YNL005C ; MRP7 ; Mitochondrial ribosomal protein of the large subunit
YNL006W ; LST8 ; Protein required for the transport of Gap1p
YNL007C ; SIS1 ; Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p
YNL008C ; ASI3 ; Subunit of the inner nuclear membrane Asi ubiquitin ligase complex
YNL009W ; IDP3 ; Peroxisomal NADP-dependent isocitrate dehydrogenase
YNL010W ; PYP1 ; Sugar alcohol phosphatase
YNL011C ; nan ; Putative protein of unknown function
YNL012W ; SPO1 ; Meiosis-specific prospore protein
YNL014W ; HEF3 ; Translational elongation factor EF-3
YNL015W ; PBI2 ; Cytosolic inhibitor of vacuolar proteinase B (PRB1)
YNL016W ; PUB1 ; Poly (A)+ RNA-binding protein
YNL020C ; ARK1 ; Ser/Thr protein kinase
YNL021W ; HDA1 ; Putative catalytic subunit of a class II histone deacetylase complex
YNL022C ; RCM1 ; rRNA m5C methyltransferase
YNL023C ; FAP1 ; Protein that binds to Fpr1p
YNL024C ; EFM6 ; Putative S-adenosylmethionine-dependent lysine methyltransferase
YNL024C-A ; KSH1 ; Essential protein suggested to function early in the secretory pathway
YNL025C ; SSN8 ; Cyclin-like component of RNA polymerase II holoenzyme
YNL026W ; SAM50 ; Component of the Sorting and Assembly Machinery (SAM) complex
YNL027W ; CRZ1 ; Transcription factor, activates transcription of stress response genes
YNL029C ; KTR5 ; Putative mannosyltransferase involved in protein glycosylation
YNL030W ; HHF2 ; Histone H4
YNL032W ; SIW14 ; Inositol phosphatase involved in inositol pyrophosphate metabolism
YNL035C ; nan ; Nuclear protein of unknown function
YNL036W ; NCE103 ; Carbonic anhydrase
YNL037C ; IDH1 ; Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase
YNL038W ; GPI15 ; Protein involved in the synthesis of GlcNAc-PI
YNL039W ; BDP1 ; Essential subunit of RNA polymerase III transcription factor (TFIIIB)
YNL040W ; nan ; Protein of unknown function
YNL041C ; COG6 ; Component of the conserved oligomeric Golgi complex
YNL042W ; BOP3 ; Protein of unknown function
YNL043C ; nan ; Dubious open reading frame
YNL044W ; YIP3 ; Protein localized to COPII vesicles
YNL045W ; LAP2 ; Leucyl aminopeptidase yscIV with epoxide hydrolase activity
YNL046W ; nan ; Putative protein of unknown function
YNL047C ; SLM2 ; Phosphoinositide PI4,5P(2) binding protein, forms a complex with Slm1p
YNL048W ; ALG11 ; Alpha-1,2-mannosyltransferase
YNL049C ; SFB2 ; Component of the Sec23p-Sfb2p heterodimer of the COPII vesicle coat
YNL050C ; nan ; Putative protein of unknown function
YNL051W ; COG5 ; Component of the conserved oligomeric Golgi complex
YNL052W ; COX5A ; Subunit Va of cytochrome c oxidase
YNL053W ; MSG5 ; Dual-specificity protein phosphatase
YNL054W ; VAC7 ; Integral vacuolar membrane protein
YNL055C ; POR1 ; Mitochondrial porin (voltage-dependent anion channel)
YNL056W ; OCA2 ; Protein of unknown function
YNL058C ; nan ; Putative protein of unknown function
YNL059C ; ARP5 ; Nuclear actin-related protein involved in chromatin remodeling
YNL061W ; NOP2 ; rRNA m5C methyltransferase
YNL062C ; GCD10 ; Subunit of tRNA (1-methyladenosine) methyltransferase with Gcd14p
YNL063W ; MTQ1 ; S-adenosylmethionine-dependent methyltransferase
YNL064C ; YDJ1 ; Type I HSP40 co-chaperone
YNL065W ; AQR1 ; Plasma membrane transporter of the major facilitator superfamily
YNL066W ; SUN4 ; Cell wall protein related to glucanases localized in birth scars
YNL067W ; RPL9B ; Ribosomal 60S subunit protein L9B
YNL068C ; FKH2 ; Forkhead family transcription factor
YNL069C ; RPL16B ; Ribosomal 60S subunit protein L16B
YNL070W ; TOM7 ; Component of the TOM (translocase of outer membrane) complex
YNL071W ; LAT1 ; Dihydrolipoamide acetyltransferase component (E2) of the PDC
YNL072W ; RNH201 ; Ribonuclease H2 catalytic subunit
YNL073W ; MSK1 ; Mitochondrial lysine-tRNA synthetase
YNL074C ; MLF3 ; Serine-rich protein of unknown function
YNL075W ; IMP4 ; Component of the SSU processome
YNL076W ; MKS1 ; Pleiotropic negative transcriptional regulator
YNL077W ; APJ1 ; Hsp40 chaperone with a role in SUMO-mediated protein degradation
YNL078W ; NIS1 ; Protein involved in axial bud site selection
YNL079C ; TPM1 ; Major isoform of tropomyosin
YNL080C ; EOS1 ; Protein involved in N-glycosylation
YNL081C ; SWS2 ; Putative mitochondrial ribosomal protein of the small subunit
YNL082W ; PMS1 ; ATP-binding protein required for mismatch repair
YNL083W ; SAL1 ; ADP/ATP transporter
YNL084C ; END3 ; EH domain-containing protein involved in endocytosis
YNL085W ; MKT1 ; Protein similar to nucleases that forms a complex with Pbp1p
YNL086W ; SNN1 ; Subunit of the BLOC-1 complex involved in endosomal maturation
YNL087W ; TCB2 ; ER protein involved in ER-plasma membrane tethering
YNL088W ; TOP2 ; Topoisomerase II
YNL090W ; RHO2 ; Non-essential small GTPase of the Rho/Rac family of Ras-like proteins
YNL091W ; NST1 ; Protein involved in signal transduction pathways
YNL092W ; nan ; S-adenosylmethionine-dependent protein methyltransferase
YNL093W ; YPT53 ; Stress-induced Rab family GTPase
YNL094W ; APP1 ; Phosphatidate phosphatase, converts phosphatidate to diacylglycerol
YNL095C ; nan ; Putative protein of unknown function
YNL096C ; RPS7B ; Protein component of the small (40S) ribosomal subunit
YNL097C ; PHO23 ; Component of the Rpd3L histone deacetylase complex
YNL098C ; RAS2 ; GTP-binding protein
YNL099C ; OCA1 ; Putative protein tyrosine phosphatase
YNL100W ; MIC27 ; Component of the MICOS complex
YNL101W ; AVT4 ; Vacuolar transporter
YNL102W ; POL1 ; Catalytic subunit of the DNA polymerase I alpha-primase complex
YNL103W ; MET4 ; Leucine-zipper transcriptional activator
YNL104C ; LEU4 ; Alpha-isopropylmalate synthase (2-isopropylmalate synthase)
YNL106C ; INP52 ; Polyphosphatidylinositol phosphatase
YNL107W ; YAF9 ; Subunit of NuA4 histone H4 acetyltransferase and SWR1 complexes
YNL108C ; nan ; Protein phosphatase
YNL110C ; NOP15 ; Constituent of 66S pre-ribosomal particles
YNL111C ; CYB5 ; Cytochrome b5
YNL112W ; DBP2 ; ATP-dependent RNA helicase of the DEAD-box protein family
YNL113W ; RPC19 ; RNA polymerase subunit AC19
YNL115C ; nan ; Putative protein of unknown function
YNL116W ; DMA2 ; Ubiquitin-protein ligase (E3)
YNL117W ; MLS1 ; Malate synthase, enzyme of the glyoxylate cycle
YNL118C ; DCP2 ; Catalytic subunit of Dcp1p-Dcp2p decapping enzyme complex
YNL119W ; NCS2 ; Protein required for uridine thiolation of Lys(UUU) and Glu(UUC) tRNAs
YNL121C ; TOM70 ; Component of the TOM (translocase of outer membrane) complex
YNL122C ; MRP35 ; Mitochondrial ribosomal protein of the large subunit
YNL123W ; NMA111 ; Serine protease and general molecular chaperone
YNL124W ; NAF1 ; RNA-binding protein required for the assembly of box H/ACA snoRNPs
YNL125C ; ESBP6 ; Protein with similarity to monocarboxylate permeases
YNL126W ; SPC98 ; Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex
YNL127W ; FAR11 ; Protein involved in recovery from cell cycle arrest
YNL128W ; TEP1 ; PTEN homolog with no demonstrated inositol lipid phosphatase activity
YNL129W ; NRK1 ; Nicotinamide riboside kinase
YNL130C ; CPT1 ; Cholinephosphotransferase
YNL131W ; TOM22 ; Component of the TOM (Translocase of Outer Membrane) complex
YNL132W ; KRE33 ; Acetyltransferase required for biogenesis of small ribosomal subunit
YNL133C ; FYV6 ; Protein of unknown function
YNL134C ; nan ; NADH-dependent aldehyde reductase, involved in detoxification of furf
YNL135C ; FPR1 ; Peptidyl-prolyl cis-trans isomerase (PPIase)
YNL136W ; EAF7 ; Subunit of the NuA4 histone acetyltransferase complex
YNL137C ; NAM9 ; Mitochondrial ribosomal component of the small subunit
YNL138W ; SRV2 ; CAP (cyclase-associated protein)
YNL138W-A ; YSF3 ; Component of the SF3b subcomplex of the U2 snRNP
YNL139C ; THO2 ; Subunit of the THO complex
YNL141W ; AAH1 ; Adenine deaminase (adenine aminohydrolase)
YNL142W ; MEP2 ; Ammonium permease involved in regulation of pseudohyphal growth
YNL144C ; nan ; Putative protein of unknown function
YNL145W ; MFA2 ; Mating pheromone a-factor
YNL146W ; nan ; Putative protein of unknown function
YNL147W ; LSM7 ; Lsm (Like Sm) protein
YNL148C ; ALF1 ; Alpha-tubulin folding protein
YNL149C ; PGA2 ; Essential protein required for maturation of Gas1p and Pho8p
YNL151C ; RPC31 ; RNA polymerase III subunit C31
YNL152W ; INN1 ; Essential protein that associates with contractile actomyosin ring
YNL153C ; GIM3 ; Subunit of the heterohexameric cochaperone prefoldin complex
YNL154C ; YCK2 ; Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform
YNL155W ; CUZ1 ; Protein with a role in the ubiquitin-proteasome pathway
YNL156C ; NSG2 ; Protein involved in regulation of sterol biosynthesis
YNL157W ; IGO1 ; Protein required for initiation of G0 program
YNL158W ; PGA1 ; Essential component of GPI-mannosyltransferase II
YNL159C ; ASI2 ; Subunit of the inner nuclear membrane Asi ubiquitin ligase complex
YNL160W ; YGP1 ; Cell wall-related secretory glycoprotein
YNL161W ; CBK1 ; Serine/threonine protein kinase of the the RAM signaling network
YNL162W ; RPL42A ; Ribosomal 60S subunit protein L42A
YNL162W-A ; nan ; Putative protein of unknown function
YNL163C ; RIA1 ; Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis
YNL164C ; IBD2 ; Component of the BUB2-dependent spindle checkpoint pathway
YNL165W ; nan ; Putative protein of unknown function
YNL166C ; BNI5 ; Linker protein responsible for recruitment of myosin to the bud neck
YNL167C ; SKO1 ; Basic leucine zipper transcription factor of the ATF/CREB family
YNL168C ; FMP41 ; Putative protein of unknown function
YNL169C ; PSD1 ; Phosphatidylserine decarboxylase of the mitochondrial inner membrane
YNL172W ; APC1 ; Largest subunit of the Anaphase-Promoting Complex/Cyclosome
YNL173C ; MDG1 ; Plasma membrane protein
YNL175C ; NOP13 ; Nucleolar protein found in preribosomal complexes
YNL176C ; TDA7 ; Cell cycle-regulated gene of unknown function
YNL177C ; MRPL22 ; Mitochondrial ribosomal protein of the large subunit
YNL178W ; RPS3 ; Protein component of the small (40S) ribosomal subunit
YNL180C ; RHO5 ; Non-essential small GTPase of the Rho/Rac family of Ras-like proteins
YNL181W ; PBR1 ; Putative oxidoreductase
YNL182C ; IPI3 ; Component of the Rix1 complex and pre-replicative complexes (pre-RCs)
YNL183C ; NPR1 ; Protein kinase
YNL185C ; MRPL19 ; Mitochondrial ribosomal protein of the large subunit
YNL186W ; UBP10 ; Ubiquitin-specific protease, deubiquitinates Ub-protein moieties
YNL187W ; SWT21 ; Protein involved in mRNA splicing
YNL188W ; KAR1 ; Protein involved in karyogamy and spindle pole body duplication
YNL189W ; SRP1 ; Karyopherin alpha homolog
YNL190W ; nan ; Hydrophilin essential in desiccation-rehydration process
YNL191W ; DUG3 ; Component of glutamine amidotransferase (GATase II)
YNL193W ; nan ; Putative protein of unknown function
YNL194C ; nan ; Integral membrane protein
YNL195C ; nan ; Protein of unknown function
YNL196C ; SLZ1 ; Sporulation-specific protein with a leucine zipper motif
YNL197C ; WHI3 ; RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci
YNL199C ; GCR2 ; Transcriptional activator of genes involved in glycolysis
YNL200C ; NNR1 ; NADHX epimerase
YNL201C ; PSY2 ; Subunit of protein phosphatase PP4 complex
YNL202W ; SPS19 ; Peroxisomal 2,4-dienoyl-CoA reductase
YNL204C ; SPS18 ; Protein of unknown function, contains a putative zinc-binding domain
YNL206C ; RTT106 ; Histone chaperone
YNL207W ; RIO2 ; Essential serine kinase involved in the processing of 20S pre-rRNA
YNL208W ; nan ; Protein of unknown function
YNL209W ; SSB2 ; Cytoplasmic ATPase that is a ribosome-associated molecular chaperone
YNL210W ; MER1 ; mRNA-binding protein required for meiosis-specific mRNA splicing
YNL211C ; MRX7 ; Protein that associates with mitochondrial ribosome
YNL212W ; VID27 ; Cytoplasmic protein of unknown function
YNL213C ; RRG9 ; Protein of unknown function
YNL214W ; PEX17 ; Membrane peroxin of the peroxisomal importomer complex
YNL215W ; IES2 ; Protein that associates with the INO80 chromatin remodeling complex
YNL216W ; RAP1 ; Essential DNA-binding transcription regulator that binds many loci
YNL217W ; PPN2 ; Zn2+-dependent endopolyphosphatase
YNL218W ; MGS1 ; Protein with DNA-dependent ATPase and ssDNA annealing activities
YNL219C ; ALG9 ; Mannosyltransferase, involved in N-linked glycosylation
YNL220W ; ADE12 ; Adenylosuccinate synthase
YNL221C ; POP1 ; Subunit of RNase MRP, nuclear RNase P and telomerase complexes
YNL222W ; SSU72 ; Phosphatase and transcription/RNA-processing factor
YNL223W ; ATG4 ; Conserved cysteine protease required for autophagy
YNL224C ; SQS1 ; Protein that stimulates the ATPase and helicase activities of Prp43p
YNL225C ; CNM67 ; Component of the spindle pole body outer plaque
YNL227C ; JJJ1 ; Co-chaperone that stimulates the ATPase activity of Ssa1p
YNL229C ; URE2 ; Nitrogen catabolite repression transcriptional regulator
YNL230C ; ELA1 ; Elongin A
YNL231C ; PDR16 ; Phosphatidylinositol transfer protein (PITP)
YNL232W ; CSL4 ; Exosome non-catalytic core component
YNL233W ; BNI4 ; Targeting subunit for Glc7p protein phosphatase
YNL234W ; nan ; Protein of unknown function with similarity to globins
YNL236W ; SIN4 ; Subunit of the RNA polymerase II mediator complex
YNL237W ; YTP1 ; Probable type-III integral membrane protein of unknown function
YNL238W ; KEX2 ; Kexin, a subtilisin-like protease (proprotein convertase)
YNL239W ; LAP3 ; Cysteine aminopeptidase with homocysteine-thiolactonase activity
YNL240C ; NAR1 ; Subunit of the cytosolic iron-sulfur (FeS) protein assembly machinery
YNL241C ; ZWF1 ; Glucose-6-phosphate dehydrogenase (G6PD)
YNL242W ; ATG2 ; Peripheral membrane protein required for autophagic vesicle formation
YNL243W ; SLA2 ; Adaptor protein that links actin to clathrin and endocytosis
YNL244C ; SUI1 ; Translation initiation factor eIF1
YNL245C ; CWC25 ; Splicing factor required for the first step of pre-mRNA splicing
YNL246W ; VPS75 ; NAP family histone chaperone
YNL247W ; CRS1 ; Cysteinyl-tRNA synthetase
YNL248C ; RPA49 ; RNA polymerase I subunit A49
YNL249C ; MPA43 ; Protein of unknown function
YNL250W ; RAD50 ; Subunit of MRX complex with Mre11p and Xrs2p
YNL251C ; NRD1 ; RNA-binding subunit of Nrd1 complex
YNL252C ; MRPL17 ; Mitochondrial ribosomal protein of the large subunit
YNL253W ; TEX1 ; Protein involved in mRNA export
YNL254C ; RTC4 ; Protein of unknown function
YNL255C ; GIS2 ; Translational activator for mRNAs with internal ribosome entry sites
YNL256W ; FOL1 ; Multifunctional enzyme of the folic acid biosynthesis pathway
YNL257C ; SIP3 ; Putative sterol transfer protein
YNL258C ; DSL1 ; Peripheral membrane protein needed for Golgi-to-ER retrograde traffic
YNL259C ; ATX1 ; Cytosolic copper metallochaperone
YNL260C ; LTO1 ; Substrate-specific adaptor protein involved in apo-Rli1p maturation
YNL261W ; ORC5 ; Subunit of the origin recognition complex (ORC)
YNL262W ; POL2 ; Catalytic subunit of DNA polymerase (II) epsilon
YNL263C ; YIF1 ; Integral membrane protein
YNL264C ; PDR17 ; Phosphatidylinositol transfer protein (PITP)
YNL265C ; IST1 ; Protein with positive role in the multivesicular body sorting pathway
YNL267W ; PIK1 ; Phosphatidylinositol 4-kinase
YNL268W ; LYP1 ; Lysine permease
YNL270C ; ALP1 ; Arginine transporter
YNL271C ; BNI1 ; Formin
YNL272C ; SEC2 ; Guanyl-nucleotide exchange factor for the small G-protein Sec4p
YNL273W ; TOF1 ; Subunit of a replication-pausing checkpoint complex
YNL274C ; GOR1 ; Glyoxylate reductase
YNL275W ; BOR1 ; Boron efflux transporter of the plasma membrane
YNL277W ; MET2 ; L-homoserine-O-acetyltransferase
YNL278W ; CAF120 ; Part of the CCR4-NOT transcriptional regulatory complex
YNL279W ; PRM1 ; Pheromone-regulated multispanning membrane protein
YNL280C ; ERG24 ; C-14 sterol reductase
YNL281W ; HCH1 ; Heat shock protein regulator
YNL282W ; POP3 ; Subunit of both RNase MRP and nuclear RNase P
YNL283C ; WSC2 ; Sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway
YNL284C ; MRPL10 ; Mitochondrial ribosomal protein of the large subunit
YNL286W ; CUS2 ; Putative checkpoint factor in transcription
YNL287W ; SEC21 ; Gamma subunit of coatomer
YNL288W ; CAF40 ; Component of the CCR4-NOT transcriptional complex
YNL289W ; PCL1 ; Cyclin, interacts with cyclin-dependent kinase Pho85p
YNL290W ; RFC3 ; Subunit of heteropentameric Replication factor C (RF-C)
YNL291C ; MID1 ; Stretch-activated Ca2+-permeable cation channel
YNL292W ; PUS4 ; Pseudouridine synthase
YNL293W ; MSB3 ; Rab GTPase-activating protein
YNL294C ; RIM21 ; pH sensor molecule, component of the RIM101 pathway
YNL295W ; MRX6 ; Mitochondrial ribosome-associated protein
YNL297C ; MON2 ; Protein with a role in endocytosis and vacuole integrity
YNL298W ; CLA4 ; Cdc42p-activated signal transducing kinase
YNL299W ; TRF5 ; Non-canonical poly(A) polymerase
YNL300W ; TOS6 ; Glycosylphosphatidylinositol-dependent cell wall protein
YNL301C ; RPL18B ; Ribosomal 60S subunit protein L18B
YNL302C ; RPS19B ; Protein component of the small (40S) ribosomal subunit
YNL304W ; YPT11 ; Rab GTPase
YNL305C ; BXI1 ; Protein involved in apoptosis
YNL306W ; MRPS18 ; Mitochondrial ribosomal protein of the small subunit
YNL307C ; MCK1 ; Dual-specificity ser/thr and tyrosine protein kinase
YNL308C ; KRI1 ; Essential nucleolar protein required for 40S ribosome biogenesis
YNL309W ; STB1 ; Protein with role in regulation of MBF-specific transcription at Start
YNL310C ; ZIM17 ; Protein co-chaperone with a zinc finger motif
YNL311C ; SKP2 ; F-box protein of unknown function
YNL312W ; RFA2 ; Subunit of heterotrimeric Replication Protein A (RPA)
YNL313C ; EMW1 ; Essential conserved protein with a role in cell wall integrity
YNL314W ; DAL82 ; Positive regulator of allophanate inducible genes
YNL315C ; ATP11 ; Molecular chaperone
YNL316C ; PHA2 ; Prephenate dehydratase
YNL317W ; PFS2 ; Integral subunit of the pre-mRNA CPF complex
YNL318C ; HXT14 ; Protein with similarity to hexose transporter family members
YNL320W ; nan ; Putative protein of unknown function
YNL321W ; VNX1 ; Calcium/H+ antiporter localized to the endoplasmic reticulum membrane
YNL322C ; KRE1 ; Cell wall glycoprotein involved in beta-glucan assembly
YNL323W ; LEM3 ; Membrane protein of the plasma membrane and ER
YNL325C ; FIG4 ; Phosphatidylinositol 3,5-bisphosphate (PtdIns[3,5]P) phosphatase
YNL326C ; PFA3 ; Palmitoyltransferase for Vac8p
YNL327W ; EGT2 ; Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase
YNL328C ; MDJ2 ; Constituent of the mitochondrial import motor
YNL329C ; PEX6 ; AAA-peroxin
YNL330C ; RPD3 ; Histone deacetylase, component of both the Rpd3S and Rpd3L complexes
YNL331C ; AAD14 ; Putative aryl-alcohol dehydrogenase
YNL334C ; SNO2 ; Protein of unknown function
YNR001C ; CIT1 ; Mitochondrial citrate synthase
YNR002C ; ATO2 ; Putative transmembrane protein involved in export of ammonia
YNR003C ; RPC34 ; RNA polymerase III subunit C34
YNR004W ; SWM2 ; Protein with a role in snRNA and snoRNA cap trimethylation
YNR006W ; VPS27 ; Endosomal protein that forms a complex with Hse1p
YNR007C ; ATG3 ; E2-like enzyme
YNR008W ; LRO1 ; Acyltransferase that converts diacylglycerol to triacylglycerol (TGA)
YNR009W ; NRM1 ; Transcriptional co-repressor of MBF-regulated gene expression
YNR010W ; CSE2 ; Subunit of the RNA polymerase II mediator complex
YNR011C ; PRP2 ; RNA-dependent DExD/H-box ATPase
YNR012W ; URK1 ; Uridine/cytidine kinase
YNR013C ; PHO91 ; Low-affinity vacuolar phosphate transporter
YNR014W ; nan ; Putative protein of unknown function
YNR015W ; SMM1 ; Dihydrouridine synthase
YNR016C ; ACC1 ; Acetyl-CoA carboxylase, biotin containing enzyme
YNR017W ; TIM23 ; Essential component of the TIM23 complex
YNR018W ; RCF2 ; Cytochrome c oxidase subunit
YNR019W ; ARE2 ; Acyl-CoA:sterol acyltransferase
YNR020C ; ATP23 ; Putative metalloprotease of the mitochondrial inner membrane
YNR021W ; nan ; Putative protein of unknown function
YNR022C ; MRPL50 ; Mitochondrial ribosomal protein of the large subunit
YNR023W ; SNF12 ; 73 kDa subunit of the SWI/SNF chromatin remodeling complex
YNR024W ; MPP6 ; Nuclear exosome-associated RNA binding protein
YNR026C ; SEC12 ; Guanine nucleotide exchange factor (GEF)
YNR027W ; BUD17 ; Putative pyridoxal kinase
YNR028W ; CPR8 ; Peptidyl-prolyl cis-trans isomerase (cyclophilin)
YNR029C ; nan ; Putative protein of unknown function
YNR030W ; ALG12 ; Alpha-1,6-mannosyltransferase localized to the ER
YNR031C ; SSK2 ; MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway
YNR032C-A ; HUB1 ; Ubiquitin-like protein modifier
YNR032W ; PPG1 ; Putative serine/threonine protein phosphatase
YNR033W ; ABZ1 ; Para-aminobenzoate (PABA) synthase
YNR034W ; SOL1 ; Protein with a possible role in tRNA export
YNR034W-A ; EGO4 ; Protein of unknown function
YNR035C ; ARC35 ; Subunit of the ARP2/3 complex
YNR036C ; MRPS12 ; Mitochondrial protein
YNR037C ; RSM19 ; Mitochondrial ribosomal protein of the small subunit
YNR038W ; DBP6 ; Essential protein involved in ribosome biogenesis
YNR039C ; ZRG17 ; Endoplasmic reticulum zinc transporter
YNR040W ; MRX15 ; Membrane-associated mitoribosome receptor
YNR041C ; COQ2 ; Para hydroxybenzoate polyprenyl transferase
YNR043W ; MVD1 ; Mevalonate pyrophosphate decarboxylase
YNR044W ; AGA1 ; Anchorage subunit of a-agglutinin of a-cells
YNR045W ; PET494 ; Mitochondrial translational activator specific for the COX3 mRNA
YNR046W ; TRM112 ; Protein involved in methylation of tRNA, rRNA, and translation factors
YNR047W ; FPK1 ; Ser/Thr protein kinase
YNR048W ; nan ; Potential noncatalytic subunit for phospholipid translocase Dnf3p
YNR049C ; MSO1 ; Lipid-interacting protein in SNARE complex assembly machinery
YNR050C ; LYS9 ; Saccharopine dehydrogenase (NADP+, L-glutamate-forming)
YNR051C ; BRE5 ; Ubiquitin protease cofactor
YNR052C ; POP2 ; RNase of the DEDD superfamily
YNR053C ; NOG2 ; Putative GTPase
YNR054C ; ESF2 ; Essential nucleolar protein involved in pre-18S rRNA processing
YNR055C ; HOL1 ; Putative transporter in the major facilitator superfamily
YNR056C ; BIO5 ; Putative transmembrane protein involved in the biotin biosynthesis
YNR057C ; BIO4 ; Dethiobiotin synthetase
YNR058W ; BIO3 ; 7,8-diamino-pelargonic acid aminotransferase (DAPA)
YNR059W ; MNT4 ; Putative alpha-1,3-mannosyltransferase
YNR060W ; FRE4 ; Ferric reductase
YNR061C ; nan ; Protein of unknown function
YNR062C ; PUL3 ; Putative pulcherrimin transporter
YNR063W ; PUL4 ; Putative zinc-cluster transcription factor
YNR064C ; nan ; Epoxide hydrolase
YNR065C ; nan ; Protein of unknown function
YNR066C ; nan ; Putative membrane-localized protein of unknown function
YNR067C ; DSE4 ; Daughter cell-specific secreted protein with similarity to glucanases
YNR069C ; BSC5 ; Protein of unknown function
YNR071C ; nan ; Putative aldose 1-epimerase
